zaman,yukseklik,ivme
0.00,0.0,-4.362
0.05,0.0,6.3596
0.10,0.00031814,17.089
0.15,0.0018092,27.825
0.20,0.0055467,38.566
0.25,0.012605,49.314
0.30,0.024058,60.069
0.35,0.040982,70.829
0.40,0.064453,81.595
0.45,0.095547,92.367
0.50,0.13534,97.155
0.55,0.18461,95.967
0.60,0.24355,94.791
0.65,0.31202,93.613
0.70,0.38993,92.433
0.75,0.47713,91.252
0.80,0.57353,90.069
0.85,0.679,88.885
0.90,0.79342,87.699
0.95,0.91667,86.512
1.00,1.0486,85.673
1.05,1.1892,85.18
1.10,1.3383,84.684
1.15,1.496,84.188
1.20,1.662,83.691
1.25,1.8365,83.194
1.30,2.0193,82.696
1.35,2.2104,82.197
1.40,2.4098,81.698
1.45,2.6174,81.198
1.50,2.8331,80.935
1.55,3.0569,80.907
1.60,3.2888,80.878
1.65,3.5288,80.849
1.70,3.7769,80.82
1.75,4.0331,80.791
1.80,4.2974,80.762
1.85,4.5697,80.732
1.90,4.8501,80.702
1.95,5.1386,80.672
2.00,5.4352,80.801
2.05,5.7399,81.088
2.10,6.0526,81.248
2.15,6.537,81.732
2.20,7.298,82.457
2.25,8.5176,83.351
2.30,10.499,83.757
2.35,12.689,84.151
2.40,15.09,84.552
2.45,17.702,84.959
2.50,20.526,85.364
2.55,23.564,85.767
2.60,26.816,86.184
2.65,30.283,86.596
2.70,33.967,87.005
2.75,37.869,86.969
2.80,41.988,86.072
2.85,46.324,85.132
2.90,50.875,84.181
2.95,55.638,83.214
3.00,60.61,82.229
3.05,65.789,81.229
3.10,71.173,80.211
3.15,76.759,79.174
3.20,82.545,78.12
3.25,88.528,77.322
3.30,94.705,77.029
3.35,101.08,76.737
3.40,107.64,76.439
3.45,114.39,76.158
3.50,121.34,75.876
3.55,128.47,75.587
3.60,135.8,75.299
3.65,143.31,75.005
3.70,151.02,74.7
3.75,158.91,74.281
3.80,166.98,73.657
3.85,175.24,73.002
3.90,183.69,72.337
3.95,192.32,71.665
4.00,201.12,70.992
4.05,210.11,70.337
4.10,219.27,69.701
4.15,228.61,69.082
4.20,238.12,68.447
4.25,247.8,67.695
4.30,257.65,66.711
4.35,267.67,65.695
4.40,277.86,64.664
4.45,288.21,63.627
4.50,298.72,62.598
4.55,309.39,61.577
4.60,320.21,60.547
4.65,331.19,59.504
4.70,342.32,58.444
4.75,353.59,57.537
4.80,365.01,56.959
4.85,376.57,56.392
4.90,388.27,55.857
4.95,400.12,55.329
5.00,412.1,54.162
5.05,424.22,51.788
