Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-1.6,908.375,-9.549805,-989.516602,76.932617,-0.388806,0.742088,1.497238
0.0,908.377,74.678711,-7144.057617,102.933594,-0.938139,29.185339,1.741386
0.2,908.358,-303.617188,-9674.208984,-283.418945,-2.647176,0.253792,4.549089
0.5,908.325,-16.874023,-10521.987305,136.625,-7.652211,-21.597461,-0.822169
1.1,908.253,-276.151367,-10408.095703,-68.819336,-1.853694,14.658528,-6.376537
2.2,908.134,-146.146484,-10516.860352,-81.636719,-4.722434,-21.719535,-23.161718
4.0,907.942,-173.612305,-10640.639648,-67.354492,-11.192358,-35.452864,-41.045564
6.9,907.622,-235.868164,-10758.55957,-53.804688,-15.892209,-45.890194,-53.61919
9.2,907.37,-318.998047,-10847.548828,-24.874023,-16.746727,-47.538194,-59.35667
19.9,906.192,-516.385742,-11140.883789,45.438477,-5.637989,-20.498795,-56.304819
30.1,905.073,-698.392578,-11251.113281,54.227539,12.79519,-2.553911,-41.655934
41.9,903.783,-874.90625,-11403.09082,-12.422852,26.10126,-11.221168,-21.330607
53.8,902.484,-915.555664,-11619.521484,-128.145508,28.725852,-49.857601,-1.676687
64.9,901.268,-844.510742,-11807.387695,-128.145508,27.810297,-107.354472,14.070864
69.0,900.823,-685.208984,-11952.773438,-143.892578,26.772668,-110.833583,23.043306
73.0,900.379,-512.723633,-11959.365234,-179.78125,21.218299,-126.092837,22.677084
73.4,900.335,-382.352539,-11985.0,-206.514648,12.306894,-162.165716,13.399457
71.9,900.503,-330.350586,-11985.0,-186.373047,3.151341,-208.797998,-0.089724
71.0,900.597,-337.674805,-11985.0,-94.454102,-5.8211,-258.360057,-8.634907
72.1,900.478,-350.492188,-11985.0,17.972656,4.1889710000000004,-307.983154,-9.550462
75.9,900.065,-281.644531,-11985.0,52.396484,11.635487,-368.653951,-7.536241
80.3,899.584,-237.699219,-11985.0,-80.904297,16.701559,-428.04297,-17.058016
84.9,899.088,-337.308594,-11985.0,-48.311523,9.987487,-490.361766,-16.325571
90.4,898.481,-232.572266,-11985.0,19.071289,18.776818,-547.736564,-9.550462
96.4,897.835,-188.260742,-11985.0,-68.086914,10.780969,-603.463363,-23.344829
101.0,897.325,-234.769531,-11985.0,-31.832031,3.761711,-655.894162,-15.410016
107.2,896.652,-89.75,-11985.0,-6.929688,12.79519,-697.765557,-21.26957
113.3,895.995,-185.697266,-11943.251953,-63.692383,-0.816065,-733.472213,-20.109867
120.2,895.243,-87.186523,-11561.660156,69.242188,10.414747,-760.511612,-19.072237
128.5,894.337,-113.1875,-11049.697266,43.973633,7.912229,-806.716636,-24.931791
138.1,893.296,-81.693359,-10661.513672,76.566406,8.400525,-846.573809,-24.931791
149.1,892.108,-91.581055,-10447.646484,49.100586,13.161412,-897.905942,-22.734458
160.6,890.862,-18.705078,-9989.882812,15.042969,12.306894,-946.613483,-26.030457
172.3,889.591,-43.241211,-9506.850586,31.15625,7.912229,-1011.251686,-22.307199
183.6,888.371,-16.507812,-8900.039062,-31.832031,36.660665,-1053.306192,-22.856532
191.2,887.555,16.451172,-8439.345703,-85.665039,10.475784,-1100.060549,-18.950163
204.8,886.086,0.337891,-7908.339844,-88.594727,59.732658,-1125.879208,-20.842311
229.8,883.395,-5.155273,-7459.365234,-139.131836,36.477554,-1154.627644,-14.799646
250.1,881.221,19.380859,-7083.999023,-199.922852,-23.704947,-1176.60097,-14.189276
269.7,879.113,47.579102,-6792.128906,-172.457031,10.475784,-1186.85519,-16.264534
290.6,876.883,6.929688,-6501.357422,-179.048828,28.115482,-1194.118595,-8.695944
314.0,874.382,3.267578,-6215.34668,-154.878906,32.327036,-1213.406293,-11.625721
387.3,866.594,129.976562,-5955.336914,-251.558594,-5.454878,-1234.280953,-16.508683
481.1,856.716,157.808594,-5813.613281,-244.966797,15.969115,-1266.386425,-11.320536
563.6,848.098,110.933594,-5545.180664,-216.768555,14.809412,-1300.384045,-13.70098
635.7,840.63,125.582031,-5397.963867,-239.839844,8.888821,-1324.310556,-13.70098
699.8,834.036,112.032227,-5161.025391,-263.643555,-2.525101,-1362.153508,-13.212683
757.9,828.088,150.118164,-4624.526367,-249.361328,22.01178,-1398.226386,-15.165868
811.6,822.63,131.075195,-3300.307617,-248.262695,15.541856,-1429.660451,-13.029572
862.0,817.527,90.05957,35.874023,-288.545898,43.801996,-1450.596149,-12.480239
