Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1.6,908.375,-0.09365159520324999,-9.7038429850033,0.7544512485030499,-0.388806,0.742088,1.497238
0.0,908.377,0.73234798122815,-70.05927262975305,1.0094337296001,-0.938139,29.185339,1.741386
0.2,908.358,-2.9774674967002,-94.87158153294361,-2.77939039698425,-2.647176,0.253792,4.549089
0.5,908.325,-0.16547763765295,-103.18544680457826,1.3398335562500001,-7.652211,-21.597461,-0.822169
1.1,908.253,-2.70811980319055,-102.06855172582496,-0.6748871413844001,-1.853694,14.658528,-6.376537
2.2,908.134,-1.4332074173185998,-103.13516857094079,-0.80058273038135,-4.722434,-21.719535,-23.161718
4.0,907.942,-1.70255511082825,-104.3490288040592,-0.6605219289718,-11.192358,-35.452864,-41.045564
6.9,907.622,-2.3130765304906,-105.5054282071405,-0.5276437435751999,-15.892209,-45.890194,-53.61919
9.2,907.37,-3.12830219761255,-106.3781147141062,-0.24393083765295,-16.746727,-47.538194,-59.35667
19.9,906.192,-5.064014236784301,-109.25474800939685,0.44559924047205,-5.637989,-20.498795,-56.304819
30.1,905.073,-6.8488915750437,-110.33573005711865,0.53179049533435,12.79519,-2.553911,-41.655934
41.9,903.783,-8.5798993765625,-111.82612058995299,-0.1218265615658,26.10126,-11.221168,-21.330607
53.8,902.484,-8.9785339523656,-113.94858036106861,-1.2566781460282002,28.725852,-49.857601,-1.676687
64.9,901.268,-8.281821268034301,-115.79091853917174,-1.2566781460282002,27.810297,-107.354472,14.070864
69.0,900.823,-6.7196046829436,-117.21666563576271,-1.4111041500436998,26.772668,-110.833583,23.043306
73.0,900.379,-5.02810121555945,-117.28130907200611,-1.7630517953125,21.218299,-126.092837,22.677084
73.4,900.335,-3.74959752658435,-117.53270025,-2.0252168728092,12.306894,-162.165716,13.399457
71.9,900.503,-3.2396325741969,-117.53270025,-1.8276952413625502,3.151341,-208.797998,-0.089724
71.0,900.597,-3.3114586264532497,-117.53270025,-0.9262783193783001,-5.8211,-258.360057,-8.634907
72.1,900.478,-3.4371542154502,-117.53270025,0.1762515469624,4.1889710000000004,-307.983154,-9.550462
75.9,900.065,-2.7619893399311497,-117.53270025,0.5138339798186,11.635487,-368.653951,-7.536241
80.3,899.584,-2.33103304600635,-117.53270025,-0.79340012417505,16.701559,-428.04297,-17.058016
84.9,899.088,-3.3078673233501004,-117.53270025,-0.47377419702795004,9.987487,-490.361766,-16.325571
90.4,898.481,-2.2807548123689,-117.53270025,0.18702545627185,18.776818,-547.736564,-9.550462
96.4,897.835,-1.8462072055343,-117.53270025,-0.6677045351780999,10.780969,-603.463363,-23.344829
101.0,897.325,-2.30230262118115,-117.53270025,-0.31216558680615003,3.761711,-655.894162,-15.410016
107.2,896.652,-0.8801468375,-117.53270025,-0.0679570248252,12.79519,-697.765557,-21.26957
113.3,895.995,-1.8210680936189,-117.12329176488745,-0.62460890774695,-0.816065,-733.472213,-20.109867
120.2,895.243,-0.85500771577795,-113.3811545688374,0.6790339029501999,10.414747,-760.511612,-19.072237
128.5,894.337,-1.1099901968750001,-108.3605136936189,0.43123402805945,7.912229,-806.716636,-24.931791
138.1,893.296,-0.80113817903735,-104.55373305151879,0.7508599453999,8.400525,-846.573809,-24.931791
149.1,892.108,-0.8981033530157501,-102.45641239231861,0.4815122616969,13.161412,-897.905942,-22.734458
160.6,890.862,-0.18343415316870001,-97.9672842782998,0.14752113194385,12.306894,-946.613483,-26.030457
172.3,889.591,-0.42405142185315,-93.2303562991969,0.3055384390625,7.912229,-1011.251686,-22.307199
183.6,888.371,-0.1618863345498,-87.2795680673623,-0.31216558680615003,36.660665,-1053.306192,-22.856532
191.2,887.555,0.16133088589379999,-82.76170953832496,-0.84008705470935,10.475784,-1100.060549,-18.950163
204.8,886.086,0.00331357877515,-77.55432093116261,-0.86881747953455,59.732658,-1125.879208,-20.842311
229.8,883.395,-0.05055595796545,-73.1513840720061,-1.3644172195094,36.477554,-1154.627644,-14.799646
250.1,881.221,0.19006130091235002,-69.47029901890295,-1.9605734365658,-23.704947,-1176.60097,-14.189276
269.7,879.113,0.4665916006283,-66.6080309360249,-1.69122574305615,10.475784,-1186.85519,-16.264534
290.6,876.883,0.0679570248252,-63.7565367624563,-1.7558691891062,28.115482,-1194.118595,-8.695944
314.0,874.382,0.0320439937937,-60.951729519421995,-1.5188432235249,32.327036,-1213.406293,-11.625721
387.3,866.594,1.2746346517373,-58.4019047476781,-2.4669470858501,-5.454878,-1234.280953,-16.508683
481.1,856.716,1.5475736483501,-57.01207068211865,-2.40230363980005,15.969115,-1266.386425,-11.320536
563.6,848.098,1.0878869296001,-54.379645958615605,-2.12577334989075,14.809412,-1300.384045,-13.70098
635.7,840.63,1.23153902430615,-52.93594235631556,-2.3520254061626,8.888821,-1324.310556,-13.70098
699.8,834.036,1.09866083890955,-50.61236965065015,-2.58546006864075,-2.525101,-1362.153508,-13.212683
757.9,828.088,1.4721562929906,-45.351111496940554,-2.4453992672312,22.01178,-1398.226386,-15.165868
811.6,822.63,1.28540856104675,-32.36496169225305,-2.43462535792175,15.541856,-1429.660451,-13.029572
862.0,817.527,0.8831826821405,0.35180398765295,-2.8296686306217,43.801996,-1450.596149,-12.480239
909.3,812.759,0.8329044485030499,12.06304141627515,-3.30731186488745,27.016816,-1462.803552,-9.855647
947.6,808.923,0.010496175174799999,17.3638038845061,-3.1852075789936496,15.847041,-1453.525925,-9.855647
977.4,805.939,-1.2177292703562,28.68358933372485,-3.59820736720935,32.204962,-1434.726524,-13.334758
1012.5,802.445,-1.41884221471265,33.28045652122485,-2.7434773757594004,30.923185,-1409.579272,-16.264534
1043.3,799.383,-2.3418069553158003,32.4472743483938,-2.14372985559985,35.867183,-1379.854244,-14.250313
1083.0,795.462,-2.30230262118115,31.97681372033435,-2.23351242337195,40.811182,-1363.1301,-14.189276
1122.6,791.558,-2.37053737033435,31.391431412587398,-2.0790864095498,57.108066,-1349.152623,-12.66335
1162.0,787.688,-2.3741286734375002,30.46128406577795,-2.0790864095498,50.88229,-1327.362407,-14.250313
1200.7,783.904,-2.2915287118717,29.8112583217876,-1.74509527979675,34.646443,-1314.422559,-11.625721
1219.5,782.07,-2.01140711885925,29.2761542476781,-1.78100831082825,38.064516,-1303.252785,-10.710166
1255.4,778.584,-1.8928941360685998,28.5399372390188,-1.8923386874126,29.031037,-1283.049532,-11.991943
1290.6,775.17,-1.65945947359045,27.78576371484375,-1.6768605404502,23.903928,-1266.325388,-12.602313
1324.4,771.916,-1.8533898117406,27.13573796104675,-1.3680085226125502,37.148961,-1248.014283,-13.578906
1357.3,768.746,-2.03295493747815,26.70478166712195,-1.19921730618445,44.229255,-1224.637104,-11.625721
1405.2,764.161,-1.97190279453125,25.91469512172205,-1.5870779726781001,50.088809,-1202.297555,-11.747795
1457.0,759.221,-1.8677550241532002,25.2862171767373,-1.2997737734593502,31.22837,-1200.588519,-12.175054
1507.4,754.438,-1.8928941360685998,24.4638089132157,-1.4721562929906,33.913999,-1175.9906,-10.83224
1557.3,749.734,-1.89648543917175,23.77068753198755,-1.5116606173185998,40.567034,-1166.041566,-14.31135
1605.5,745.207,-1.9934506131501502,22.89800102502185,-1.03760869596265,20.79104,-1167.506455,-12.66335
1652.6,740.8,-2.00422451265295,22.34494044520325,-0.30498298059985,34.09711,-1162.745567,-15.104831
1698.7,736.521,-1.9790854007375502,21.6159060329436,-0.3444873147345,32.327036,-1155.421125,-16.630757
1745.8,732.155,-2.16942443578455,20.904828146006352,-0.4127220638877,32.44911,-1145.777276,-16.56972
1788.6,728.219,-2.1909722445968,19.2995159334845,-0.23315693815014998,20.485855,-1137.171056,-19.316385
1809.6,726.287,-2.2376591751310997,17.087273594596798,0.05773856417175,33.242592,-1126.489578,-20.04883
1832.7,724.173,-2.1442853140625,16.361830495246952,0.05055595796545,40.872219,-1110.497879,-19.316385
1862.4,721.453,-2.06527665559985,15.89496117029065,0.18343415316870001,30.068667,-1096.642476,-18.706015
