Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-12.095377557847037,-17.350490076669097,0.02,0.0,-0.17,0.0,0.0,0.0
56.840186205477686,13.85427985262845,7.06,0.0,80.73,0.0,0.0,0.0
45.54424308557883,10.281744933204333,7.33,0.0,83.78,0.0,0.0,0.0
101.2931197643954,-56.61724224942567,7.33,0.0,83.81,0.0,0.0,0.0
-52.59458216077422,-15.662342697527595,7.39,0.0,84.44,0.0,0.0,0.0
95.92433090388587,40.40523114705009,7.89,0.0,84.91,0.0,0.07,0.0
99.04831361906795,8.695483270806715,8.09,0.0,85.33,0.0,0.22,0.0
-28.449091897450135,0.9846076922340146,8.42,0.0,85.47,0.0,0.48,0.0
41.882190220750516,-14.15453907706214,8.9,0.0,85.58,0.0,0.86,0.0
94.65111882157063,60.57431746761142,9.62,0.0,85.66,0.0,1.38,0.0
-42.58154039623507,-30.335367920960906,10.65,0.0,85.69,0.0,2.04,0.0
63.25149172874162,97.61800457306805,12.03,0.0,85.65,0.0,2.84,0.0
27.19060886165847,112.33257671525958,13.64,0.0,85.54,0.0,3.74,0.0
123.31170693648586,121.06300740177767,15.37,0.0,85.36,0.0,4.68,0.0
30.78410671646779,84.8131118410403,17.21,0.0,85.09,0.0,3.78,0.0
15.211287421032523,185.23243580172792,18.85,0.0,84.48,0.0,3.01,0.0
56.44303457875836,62.925377622937056,20.26,0.0,83.87,0.0,2.46,0.0
140.29649809315703,31.498536459006814,20.98,0.0,83.12,0.0,2.24,0.0
146.62202243655642,139.82912003993997,20.89,0.0,82.34,0.0,2.39,0.0
48.21808798117219,68.16562275098548,19.86,0.0,81.75,0.0,2.87,0.0
199.19581581338284,175.0511871998989,18.34,0.0,81.23,0.0,3.54,0.0
226.44495740866756,169.25157935667372,16.55,0.0,80.67,0.0,2.81,0.0
253.65904389367233,240.1661832221775,14.74,0.0,80.06,0.0,2.24,0.0
249.44646995135224,238.1398801469747,13.34,0.0,78.83,0.0,2.04,0.0
286.5785793141872,244.95408856334973,13.03,0.0,77.39,0.0,2.33,0.0
201.06573632852445,222.76703870123902,14.1,0.0,75.76,0.0,3.05,0.0
334.69059617975336,252.20309872746887,16.0,0.0,74.0,0.0,2.19,0.0
-2820.601660536874,-2824.3479316621215,17.72,0.0,72.19,0.0,1.57,0.0
276.20528890731686,257.66938403539655,18.48,0.0,70.49,0.0,1.49,0.0
314.56200442603836,341.9153443641266,17.13,0.0,68.25,0.0,1.97,0.0
327.17598633449603,300.04435279417874,14.65,0.0,65.03,0.0,2.67,0.0
411.1477485832118,350.5231977419532,11.19,0.0,57.51,0.0,2.19,0.0
445.4860898321759,360.0815062691576,8.62,0.0,46.03,0.0,2.3,0.0
456.98657896770635,415.80439665616353,8.02,0.0,37.79,0.0,2.96,0.0
412.7980430425179,472.3407919759618,8.26,0.0,28.28,0.0,2.25,0.0
429.54443849659054,465.5936058326747,7.61,0.0,18.84,0.0,2.05,0.0
499.4866132614661,546.0354739763677,5.44,0.0,10.2,0.0,2.52,0.0
508.6862837278885,489.50043530174656,2.88,0.0,6.52,0.0,1.8,0.0
510.0688112932924,566.9729549598344,0.76,0.0,1.79,0.0,1.49,0.0
638.3118774912733,608.5062454832669,0.18,0.0,-1.35,0.0,1.83,0.0
706.5496869367427,611.3297778060834,0.99,0.0,-4.3,0.0,2.5,0.01
556.6290922853726,653.6159259032098,1.07,0.0,-9.13,0.0,2.07,0.01
710.7216169762196,653.4677876003051,0.16,0.0,-14.38,0.0,2.14,0.01
643.4349037821192,639.8245969711197,1.34,0.0,-18.03,0.0,2.59,0.01
764.7180816461978,801.9259294664407,2.23,0.0,-17.71,0.0,2.19,0.01
731.16262667898,765.2900671039866,2.53,0.0,-17.51,0.0,2.17,0.01
728.4091596156014,905.5600402929252,2.18,0.0,-17.42,0.0,2.57,0.01
809.8830791242099,761.7062627702819,1.41,0.0,-17.42,0.0,2.07,0.01
802.1162709637649,805.0025455389028,0.98,0.0,-17.38,0.0,1.78,0.01
858.3040571010708,861.0603601313635,0.95,0.0,-17.25,0.0,1.79,0.01
924.4431992928016,854.9778019790774,1.13,0.0,-17.06,0.0,2.08,0.01
863.4144294131667,1007.1859200194497,1.75,0.0,-16.8,0.0,1.76,0.01
982.198817094999,910.6696555569177,2.03,0.0,-16.62,0.0,1.69,0.01
982.3058012110787,999.9815105511138,1.96,0.0,-16.5,0.0,1.9,0.01
902.4373226679081,1057.4732666868324,1.77,0.0,-16.42,0.0,2.34,0.01
925.992369023258,1013.3560107759042,1.2,0.0,-16.42,0.0,1.88,0.01
983.0606058577105,1034.1346979688235,0.72,0.0,-16.41,0.0,1.64,0.01
997.4293054844704,1110.1468091374759,0.69,0.0,-16.3,0.0,1.76,0.01
1105.1489668924305,1064.5110528055538,0.99,0.0,-16.11,0.0,2.18,0.01
1139.4309273963686,1033.0496934755183,1.6,0.0,-15.86,0.0,1.74,0.01
1169.528180758717,1078.4859929795389,2.26,0.0,-15.63,0.0,1.6,0.01
1206.8296837984624,1164.818632111026,2.17,0.0,-15.54,0.0,1.91,0.01
1208.8290596668287,1134.4639349054648,1.67,0.0,-15.53,0.0,2.55,0.01
1140.5855321687181,1220.5584362883112,0.76,0.0,-15.62,0.0,1.96,0.01
1215.6386981036621,1196.2335109373987,0.39,0.0,-15.62,0.0,1.73,0.01
1242.24523262853,1274.1699674531924,0.42,0.0,-15.51,0.0,1.96,0.01
1270.0130739726922,1439.128567453327,0.92,0.0,-15.28,0.0,2.5,0.01
1257.6304162118622,1273.354022529963,1.5,0.0,-15.05,0.0,1.94,0.01
1220.2043827239033,1291.4520760419455,2.16,0.0,-14.83,0.0,1.67,0.01
1392.4393704275026,1292.165033247931,2.38,0.0,-14.71,0.0,1.92,0.01
1331.3131768130547,1309.6542969205761,1.66,0.0,-14.74,0.0,2.57,0.01
1334.2830265074858,1351.3865730541206,0.94,0.0,-14.81,0.0,1.88,0.01
1374.0920900117062,1398.7402091006797,0.28,0.0,-14.89,0.0,1.46,0.01
1411.5596929392718,1443.1195076231697,0.28,0.0,-14.81,0.0,1.5,0.01
1530.9608584040295,1430.1939916032593,0.51,0.0,-14.65,0.0,1.88,0.01
1384.601731921538,1392.6275895876279,0.96,0.0,-14.45,0.0,2.44,0.02
1449.952172096504,1497.359971126579,1.66,0.0,-14.22,0.0,2.01,0.02
1539.7310489934503,1504.5281601435856,2.15,0.0,-14.06,0.0,1.98,0.02
1541.4734506628026,1488.546050076642,1.73,0.0,-14.05,0.0,2.38,0.02
1474.8079376722671,1529.187142359181,1.26,0.0,-14.07,0.0,2.98,0.02
1482.1907213918985,1636.030147654092,0.91,0.0,-14.08,0.0,2.37,0.02
1498.332072912133,1621.4018138637123,0.28,0.0,-14.17,0.0,1.95,0.02
1686.4107761090738,1583.4625699636235,0.25,0.0,-14.11,0.0,1.93,0.02
1680.5355759996125,1660.1826499725398,0.36,0.0,-14.0,0.0,2.24,0.02
1649.2183315645384,1606.6536802050935,0.88,0.0,-13.79,0.0,2.72,0.02
1756.362558956555,1622.4963160035506,1.43,0.0,-13.6,0.0,2.34,0.02
1644.103021017058,1661.1287583970707,1.63,0.0,-13.49,0.0,2.21,0.02
1730.623553657508,1719.9527805840355,1.68,0.0,-13.41,0.0,2.43,0.02
1776.1616302004188,1805.1302749497286,1.33,0.0,-13.41,0.0,2.93,0.02
1677.3984700287454,1817.1592341138667,0.84,0.0,-13.46,0.0,2.37,0.02
1837.68441113552,1875.0838049467425,0.46,0.0,-13.5,0.0,1.94,0.02
1887.6299513966194,1745.9078023128116,0.07,0.0,-13.54,0.0,1.82,0.02
1817.1533126335146,1790.5138758821097,0.28,0.0,-13.42,0.0,2.05,0.02
1827.619982796772,1882.9202741918034,0.59,0.0,-13.27,0.0,2.5,0.02
1894.1524279803066,1808.5379547235211,0.99,0.0,-13.1,0.0,2.01,0.02
1859.939979953883,1796.9512415362356,1.29,0.0,-12.97,0.0,1.65,0.02
1926.9499173513386,1883.8064650655822,1.44,0.0,-12.88,0.0,1.55,0.02
1817.4367710993886,1939.1473280467394,1.35,0.0,-12.84,0.0,1.71,0.02
1911.340085838622,1815.7262220437497,1.19,0.0,-12.82,0.0,2.1,0.02
2031.6248296543401,1947.662908688264,0.91,0.0,-12.83,0.0,2.62,0.02
1870.7673058085725,1897.4947048711394,0.75,0.0,-12.82,0.0,2.08,0.01
2047.1469198447874,1964.0318835084727,0.4,0.0,-12.86,0.0,1.67,0.01
1965.2367027415642,1976.870698403755,0.3,0.0,-12.84,0.0,1.49,0.01
2005.1413629619012,2050.3237187713953,0.32,0.0,-12.79,0.0,1.53,0.01
2139.1975475339223,1974.133426248528,0.52,0.0,-12.68,0.0,1.76,0.01
2045.219922877653,2080.086131505563,0.75,0.0,-12.56,0.0,2.07,0.01
2004.6369843165282,2047.6400992418403,0.86,0.0,-12.48,0.0,1.78,0.01
2082.2578369003168,2069.3726014862773,1.18,0.0,-12.36,0.0,1.66,0.01
2115.395037173536,2051.0087722107864,1.24,0.0,-12.3,0.0,1.77,0.01
2007.8248592238251,2116.944191790169,1.09,0.0,-12.28,0.0,2.08,0.01
2145.513560193026,2186.1591344170893,0.84,0.0,-12.29,0.0,2.5,0.01
2157.8780090316336,2246.649797029049,0.73,0.0,-12.28,0.0,2.96,0.01
2191.9536100226974,2160.5511670209917,0.51,0.0,-12.3,0.0,2.54,0.01
2164.1560174630563,2160.403824650289,0.3,0.0,-12.32,0.0,2.28,0.01
2173.874779783895,2197.301021558106,0.26,0.0,-12.29,0.0,2.2,0.01
2212.976994788759,2111.893213157705,0.4,0.0,-12.2,0.0,2.31,0.01
2259.122227822733,2235.5938394541877,0.59,0.0,-12.1,0.0,2.52,0.01
2165.1720266479883,2300.367109776924,0.73,0.0,-12.02,0.0,2.3,0.01
2312.3546185760974,2174.547220967078,0.79,0.0,-11.96,0.0,2.13,0.01
2222.351279831529,2232.6021632531365,0.95,0.0,-11.88,0.0,2.08,0.01
2262.9643100551857,2153.6638804297013,1.07,0.0,-11.81,0.0,2.21,0.01
2275.860287419796,2312.786206109142,1.0,0.0,-11.79,0.0,2.52,0.01
2359.0053738724146,2324.2740077160925,0.78,0.0,-11.81,0.0,2.96,0.01
2343.696184508921,2246.818781833249,0.61,0.0,-11.82,0.0,2.47,0.0
2398.210068219016,2330.3964789507854,0.41,0.0,-11.84,0.0,2.04,0.0
2233.491966579356,2308.0080527316322,0.23,0.0,-11.87,0.0,1.74,0.0
2332.355396840448,2425.6027697706186,0.14,0.0,-11.86,0.0,1.64,0.0
2464.632362983432,2353.838640118775,0.09,0.0,-11.83,0.0,1.78,0.0
2429.827607838346,2388.0258399034983,0.27,0.0,-11.73,0.0,2.13,0.0
2518.3021926304314,2434.552681239502,0.54,0.0,-11.61,0.0,2.55,0.0
2540.0154634601377,2392.8062138945756,0.77,0.0,-11.51,0.0,2.17,0.0
2439.8997677467464,2453.8900402259274,0.96,0.0,-11.43,0.0,1.94,0.0
2441.3373941786504,2368.2178218955087,1.09,0.0,-11.36,0.0,1.93,0.0
2409.4226388406464,2447.404875929514,1.06,0.0,-11.33,0.0,2.16,0.0
2469.0157048612114,2407.9677180030844,1.03,0.0,-11.31,0.0,2.62,0.0
2439.348405824303,2448.7804999541795,0.87,0.0,-11.32,0.0,3.26,0.0
2531.562973739106,2511.008264076977,0.64,0.0,-11.35,0.0,4.01,-0.01
2523.9081928307633,2528.018799080906,0.46,0.0,-11.39,0.0,3.27,-0.01
2522.381117375763,2496.3168823692126,0.25,0.0,-11.43,0.0,2.63,-0.01
2564.624575562906,2527.826381721818,0.11,0.0,-11.47,0.0,2.15,-0.01
2599.407818643492,2532.3668847557224,0.12,0.0,-11.44,0.0,1.88,-0.01
2477.2460310864853,2570.8223124847827,0.03,0.0,-11.44,0.0,1.84,-0.01
2566.381008524406,2521.715510364495,0.08,0.0,-11.39,0.0,2.01,-0.01
2588.1343974505726,2535.0455114199985,0.28,0.0,-11.28,0.0,2.34,-0.01
2603.3771709378316,2596.8643860705147,0.44,0.0,-11.19,0.0,2.74,-0.01
2579.0039101486036,2595.347249892786,0.55,0.0,-11.12,0.0,2.33,-0.01
2665.9418083392534,2570.796824408324,0.8,0.0,-11.01,0.0,2.02,-0.01
2606.309840521906,2676.0447180515325,0.88,0.0,-10.96,0.0,1.87,-0.01
2665.9840950979346,2700.9683058549313,0.81,0.0,-10.95,0.0,1.88,-0.01
2721.04571425362,2719.510498566492,0.81,0.0,-10.92,0.0,2.06,-0.01
2666.701836187222,2615.273700453644,0.87,0.0,-10.88,0.0,2.42,-0.01
2734.371036396017,2672.902850184662,0.74,0.0,-10.89,0.0,2.92,-0.02
2672.3713046723333,2676.7871699199827,0.62,0.0,-10.91,0.0,3.53,-0.02
2662.3502152213905,2669.1521983605026,0.47,0.0,-10.93,0.0,4.18,-0.02
2684.042980958014,2652.6300722497153,0.33,0.0,-10.97,0.0,3.55,-0.02
2712.285525058165,2715.1476800051146,0.24,0.0,-10.98,0.0,2.99,-0.02
2646.9895402467732,2808.520134077275,0.18,0.0,-10.99,0.0,2.55,-0.02
2740.9057516380694,2746.6453498207115,0.16,0.0,-10.98,0.0,2.24,-0.02
2632.898450495775,2772.114220022566,0.1,0.0,-10.98,0.0,2.08,-0.02
2717.9425316976403,2784.7563762121476,0.15,0.0,-10.94,0.0,2.06,-0.02
2837.548596209028,2773.443324211171,0.26,0.0,-10.87,0.0,2.17,-0.02
2834.8645742297417,2756.404375271153,0.32,0.0,-10.81,0.0,2.35,-0.02
2771.7488920149503,2760.0653175185944,0.37,0.0,-10.77,0.0,2.56,-0.02
2936.6703470945017,2789.1781981681,0.44,0.0,-10.71,0.0,2.35,-0.02
2734.334032415629,2707.2432587515177,0.54,0.0,-10.65,0.0,2.2,-0.03
2800.0161214946243,2855.2263650313535,0.56,0.0,-10.62,0.0,2.12,-0.03
2840.8539129476485,2859.4981552167737,0.57,0.0,-10.6,0.0,2.12,-0.03
2846.0072790137147,2824.274599874515,0.55,0.0,-10.58,0.0,2.21,-0.03
2875.1507504274796,2824.3516373226776,0.5,0.0,-10.58,0.0,2.38,-0.03
2908.1178621315416,2941.3891793587986,0.49,0.0,-10.56,0.0,2.6,-0.03
2977.883930327702,2817.3632884037033,0.47,0.0,-10.55,0.0,2.88,-0.03
2821.2350659317385,2852.2514232424833,0.5,0.0,-10.52,0.0,3.22,-0.03
2973.948967168764,2894.888014166336,0.44,0.0,-10.52,0.0,3.6,-0.03
2913.960292758403,2968.9365787288357,0.37,0.0,-10.53,0.0,4.01,-0.04
2950.3137318459408,2999.1421325532083,0.38,0.0,-10.51,0.0,4.44,-0.04
2954.386007439305,2960.326458784863,0.31,0.0,-10.52,0.0,4.02,-0.04
2950.6739779058266,2835.8989232698896,0.27,0.0,-10.52,0.0,3.63,-0.04
2846.213181110223,3018.825618801779,0.27,0.0,-10.51,0.0,3.26,-0.04
3010.388078697891,3029.1991572768834,0.25,0.0,-10.5,0.0,2.94,-0.04
3045.722380942236,2989.735271369911,0.29,0.0,-10.47,0.0,2.64,-0.04
3075.000523317829,2973.9227377625784,0.28,0.0,-10.45,0.0,2.38,-0.04
2995.096526568111,3014.60186850418,0.27,0.0,-10.44,0.0,2.13,-0.04
2988.1871788785793,3013.2150604197386,0.28,0.0,-10.42,0.0,1.91,-0.04
3014.433520091249,2952.0218488862447,0.27,0.0,-10.41,0.0,1.71,-0.03
3057.8837939520777,3025.118612299644,0.25,0.0,-10.4,0.0,1.54,-0.03
3055.8078885746404,2976.5703375027056,0.24,0.0,-10.38,0.0,1.4,-0.03
3063.520345698041,3022.979091208165,0.28,0.0,-10.35,0.0,1.28,-0.03
2965.3614257212485,3071.8630835908766,0.33,0.0,-10.31,0.0,1.4,-0.03
3012.8196458077414,3052.362562604347,0.33,0.0,-10.29,0.0,1.54,-0.03
2936.3690973080015,3027.7555072975097,0.3,0.0,-10.29,0.0,1.7,-0.03
2990.713608629388,3017.5033222701513,0.36,0.0,-10.25,0.0,1.89,-0.03
3170.6492293949295,3061.6067366575744,0.35,0.0,-10.24,0.0,2.11,-0.03
3033.1930825305026,3110.036510041391,0.37,0.0,-10.22,0.0,2.37,-0.03
3019.687839721552,3118.688079927101,0.36,0.0,-10.2,0.0,2.68,-0.04
3091.958253284899,3048.0350542468523,0.38,0.0,-10.18,0.0,3.04,-0.04
3077.973788615619,3117.611594390222,0.36,0.0,-10.18,0.0,3.44,-0.04
3088.337243651074,3032.17943666806,0.33,0.0,-10.18,0.0,3.88,-0.04
2997.6339390871467,3102.6699383137197,0.36,0.0,-10.15,0.0,4.36,-0.04
3061.4979654266963,3058.621460089113,0.3,0.0,-10.17,0.0,4.89,-0.04
3029.8914486401773,3037.1901212838725,0.31,0.0,-10.15,0.0,5.44,-0.04
3117.800948508774,3138.558411227749,0.26,0.0,-10.17,0.0,6.01,-0.04
3056.1433474059536,3157.2486524711767,0.21,0.0,-10.18,0.0,5.45,-0.04
3195.370545357349,3122.62977995388,0.2,0.0,-10.17,0.0,4.91,-0.04
3035.1246707935597,3190.0543867007,0.18,0.0,-10.17,0.0,4.4,-0.04
3060.250974221171,3159.887435548692,0.15,0.0,-10.18,0.0,3.92,-0.04
3140.050582872737,3228.8072207731475,0.14,0.0,-10.18,0.0,3.49,-0.04
3156.87954285618,3171.6855158017893,0.13,0.0,-10.18,0.0,3.11,-0.04
3205.198445721053,3178.810526192498,0.1,0.0,-10.18,0.0,2.78,-0.04
3207.3474530342787,3213.0775511463003,0.15,0.0,-10.13,0.0,2.5,-0.04
3215.918318773012,3141.3318962247927,0.21,0.0,-10.09,0.0,2.24,-0.03
3235.792677520896,3128.6117548219786,0.24,0.0,-10.06,0.0,2.51,-0.03
3214.264699105695,3063.4002662900457,0.26,0.0,-10.03,0.0,2.79,-0.03
3145.6462572894043,3145.378767560149,0.28,0.0,-10.01,0.0,3.11,-0.03
3224.8340280176035,3286.100723976018,0.31,0.0,-9.98,0.0,3.47,-0.04
3219.150849027525,3297.4538545220566,0.29,0.0,-9.98,0.0,3.88,-0.04
3229.220563205038,3091.8846182087573,0.32,0.0,-9.95,0.0,4.33,-0.04
3290.2150967193647,3078.826772984572,0.29,0.0,-9.95,0.0,4.83,-0.04
3298.981436374257,3145.863396929972,0.29,0.0,-9.95,0.0,5.38,-0.04
3223.716981947862,3211.4347858175893,0.26,0.0,-9.95,0.0,5.97,-0.04
3163.467311789509,3125.0478896159175,0.25,0.0,-9.95,0.0,6.59,-0.04
3170.5535497839055,3170.30372021058,0.25,0.0,-9.94,0.0,7.25,-0.04
3220.7359191268147,3226.570172301003,0.24,0.0,-9.94,0.0,7.94,-0.04
3171.072485951196,3160.5596042244306,0.22,0.0,-9.94,0.0,8.66,-0.04
3320.670508817788,3243.966401430222,0.2,0.0,-9.95,0.0,9.4,-0.04
3213.4399691542503,3260.5433934420657,0.2,0.0,-9.94,0.0,10.15,-0.04
3312.381453639136,3166.7923808654805,0.19,0.0,-9.94,0.0,10.91,-0.04
3139.3073006793925,3189.0093887432677,0.21,0.0,-9.92,0.0,11.68,-0.04
3228.8507552279825,3216.295513458678,0.2,0.0,-9.92,0.0,12.47,-0.04
3190.1770638350085,3359.1544595721143,0.19,0.0,-9.92,0.0,13.28,-0.04
3211.057145864318,3233.3658374482206,0.18,0.0,-9.92,0.0,14.1,-0.03
3282.4197753611684,3217.077446079067,0.17,0.0,-9.92,0.0,14.92,-0.03
3295.785747413409,3141.0293165998532,0.19,0.0,-9.9,0.0,15.74,-0.03
3178.426375440657,3430.0852039157826,0.18,0.0,-9.89,0.0,16.58,-0.03
3296.5363027571493,3311.966364836159,0.18,0.0,-9.89,0.0,17.43,-0.03
3232.4437830543757,3287.0836804292776,0.19,0.0,-9.87,0.0,18.3,-0.03
3202.6719929923024,3219.7607159142717,0.2,0.0,-9.86,0.0,19.2,-0.03
3240.311560033904,3286.194963395877,0.19,0.0,-9.86,0.0,20.11,-0.03
3331.0342405708916,3355.2161310876963,0.2,0.0,-9.83,0.0,21.05,-0.03
3263.9242872816044,3304.2519910479587,0.18,0.0,-9.85,0.0,22.02,-0.03
3297.99526512689,3321.9301488738784,0.19,0.0,-9.83,0.0,23.0,-0.03
