Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.122,-12.10,,
0.233,56.84,,
0.390,45.54,,
0.496,101.29,,
0.611,-52.59,,
0.713,95.92,,
0.824,99.05,,
0.929,-28.45,,
1.030,41.88,,
1.141,94.65,,
1.242,-42.58,,
1.344,63.25,,
1.534,27.19,,
1.635,123.31,,
1.738,30.78,,
1.841,15.21,,
1.944,56.44,,
2.045,140.30,,
2.147,146.62,,
2.249,48.22,,
2.359,199.20,,
2.460,226.44,,
2.562,253.66,,
2.663,249.45,,
2.765,286.58,,
2.869,201.07,,
2.970,334.69,,
3.076,-2820.60,,
3.176,276.21,,
3.279,314.56,,
3.380,327.18,,
3.491,411.15,,
3.607,445.49,,
3.708,456.99,,
3.809,412.80,,
3.910,429.54,,
4.012,499.49,,
4.114,508.69,,
4.217,510.07,,
4.325,638.31,,
4.429,706.55,,
4.539,556.63,,
4.651,710.72,,
4.759,643.43,,
4.859,764.72,,
4.962,731.16,,
5.069,728.41,,
5.183,809.88,,
5.286,802.12,,
5.386,858.30,,
5.494,924.44,,
5.601,863.41,,
5.701,982.20,,
5.806,982.31,,
5.914,902.44,,
6.016,925.99,,
6.123,983.06,,
6.232,997.43,,
6.340,1105.15,,
6.446,1139.43,,
6.548,1169.53,,
6.649,1206.83,,
6.755,1208.83,,
6.856,1140.59,,
6.969,1215.64,,
7.071,1242.25,,
7.174,1270.01,,
7.285,1257.63,,
7.388,1220.20,,
7.497,1392.44,,
7.605,1331.31,,
7.706,1334.28,,
7.820,1374.09,,
7.922,1411.56,,
8.030,1530.96,,
8.139,1384.60,,
8.242,1449.95,,
8.353,1539.73,,
8.456,1541.47,,
8.558,1474.81,,
8.666,1482.19,,
8.772,1498.33,,
8.881,1686.41,,
8.989,1680.54,,
9.098,1649.22,,
9.214,1756.36,,
9.316,1644.10,,
9.426,1730.62,,
9.528,1776.16,,
9.639,1677.40,,
9.753,1837.68,,
9.865,1887.63,,
9.966,1817.15,,
10.068,1827.62,,
10.170,1894.15,,
10.273,1859.94,,
10.382,1926.95,,
10.484,1817.44,,
10.585,1911.34,,
10.686,2031.62,,
10.790,1870.77,,
10.891,2047.15,,
10.992,1965.24,,
11.093,2005.14,,
11.196,2139.20,,
11.298,2045.22,,
11.399,2004.64,,
11.502,2082.26,,
11.613,2115.40,,
11.714,2007.82,,
11.817,2145.51,,
11.920,2157.88,,
12.023,2191.95,,
12.127,2164.16,,
12.231,2173.87,,
12.340,2212.98,,
12.473,2259.12,,
12.574,2165.17,,
12.675,2312.35,,
12.776,2222.35,,
12.878,2262.96,,
12.979,2275.86,,
13.080,2359.01,,
13.182,2343.70,,
13.284,2398.21,,
13.386,2233.49,,
13.497,2332.36,,
13.606,2464.63,,
13.707,2429.83,,
13.810,2518.30,,
13.912,2540.02,,
14.014,2439.90,,
14.115,2441.34,,
14.216,2409.42,,
14.318,2469.02,,
14.420,2439.35,,
14.529,2531.56,,
14.634,2523.91,,
14.735,2522.38,,
14.841,2564.62,,
14.950,2599.41,,
15.055,2477.25,,
15.156,2566.38,,
15.258,2588.13,,
15.363,2603.38,,
15.468,2579.00,,
15.571,2665.94,,
15.673,2606.31,,
15.775,2665.98,,
15.878,2721.05,,
15.986,2666.70,,
16.090,2734.37,,
16.202,2672.37,,
16.309,2662.35,,
16.415,2684.04,,
16.525,2712.29,,
16.632,2646.99,,
16.754,2740.91,,
16.855,2632.90,,
16.957,2717.94,,
17.057,2837.55,,
17.161,2834.86,,
17.262,2771.75,,
17.376,2936.67,,
17.483,2734.33,,
17.591,2800.02,,
17.699,2840.85,,
17.807,2846.01,,
17.914,2875.15,,
18.022,2908.12,,
18.129,2977.88,,
18.238,2821.24,,
18.346,2973.95,,
18.453,2913.96,,
18.558,2950.31,,
18.662,2954.39,,
18.772,2950.67,,
18.877,2846.21,,
18.990,3010.39,,
19.094,3045.72,,
19.202,3075.00,,
19.316,2995.10,,
19.417,2988.19,,
19.518,3014.43,,
19.626,3057.88,,
19.728,3055.81,,
19.842,3063.52,,
19.947,2965.36,,
20.058,3012.82,,
20.165,2936.37,,
20.268,2990.71,,
20.371,3170.65,,
20.472,3033.19,,
20.573,3019.69,,
20.678,3091.96,,
20.786,3077.97,,
20.887,3088.34,,
20.989,2997.63,,
21.092,3061.50,,
21.193,3029.89,,
21.301,3117.80,,
21.420,3056.14,,
21.521,3195.37,,
21.622,3035.12,,
21.723,3060.25,,
21.824,3140.05,,
21.925,3156.88,,
22.034,3205.20,,
22.137,3207.35,,
22.242,3215.92,,
22.350,3235.79,,
22.452,3214.26,,
22.552,3145.65,,
22.653,3224.83,,
22.755,3219.15,,
22.858,3229.22,,
22.959,3290.22,,
23.061,3298.98,,
23.164,3223.72,,
23.266,3163.47,,
23.368,3170.55,,
23.473,3220.74,,
23.582,3171.07,,
23.683,3320.67,,
23.787,3213.44,,
23.889,3312.38,,
23.992,3139.31,,
24.098,3228.85,,
24.207,3190.18,,
24.314,3211.06,,
24.423,3282.42,,
24.528,3295.79,,
24.637,3178.43,,
24.752,3296.54,,
24.854,3232.44,,
24.971,3202.67,,
25.072,3240.31,,
25.175,3331.03,,
25.276,3263.92,,
25.384,3298.00,,
25.494,3201.20,,
25.597,3332.52,,
25.705,3270.53,,
25.816,3333.73,,
25.923,3274.97,,
26.030,3294.65,,
26.132,3234.56,,
26.233,3240.42,,
26.338,3228.85,,
26.440,3335.93,,
26.556,234.16,,
26.659,3195.61,,
26.763,3228.99,,
26.864,3300.39,,
26.966,3438.08,,
27.071,3320.42,,
27.174,3355.48,,
27.279,3379.32,,
27.380,3308.62,,
27.482,3326.54,,
27.594,3336.98,,
27.697,3312.52,,
27.800,3323.67,,
27.902,3353.17,,
28.006,3272.36,,
28.114,3308.32,,
28.220,3337.17,,
28.327,3292.42,,
28.434,3320.99,,
28.548,3296.73,,
28.656,3390.02,,
28.764,3372.00,,
28.875,3353.13,,
28.978,3211.29,,
29.093,3264.74,,
29.211,3405.44,,
29.345,3291.04,,
29.473,3337.37,,
29.583,3298.09,,
29.692,3413.81,,
29.811,3244.43,,
29.920,3377.23,,
30.030,3285.23,,
30.135,3277.98,,
30.321,3346.30,,
30.423,3271.32,,
30.533,3309.67,,
30.642,3239.09,,
30.751,3343.64,,
30.855,3395.42,,
30.957,3251.79,,
31.059,3346.25,,
31.163,3316.64,,
31.264,3216.93,,
31.378,3297.53,,
31.487,3285.43,,
31.595,3239.71,,
31.700,3353.58,,
31.811,3220.87,,
31.917,3230.52,,
32.026,3201.81,,
32.134,3301.76,,
32.240,3329.74,,
32.355,3221.44,,
32.462,3359.80,,
32.569,3173.80,,
32.677,3405.18,,
32.787,3238.82,,
32.895,3170.68,,
33.002,3202.99,,
33.116,3178.64,,
33.228,3196.55,,
33.329,3194.74,,
33.435,3186.58,,
33.551,3219.98,,
33.656,3284.44,,
33.756,3344.55,,
33.864,3220.48,,
33.975,3101.14,,
34.079,3167.23,,
34.186,3239.43,,
34.295,3250.94,,
34.403,3100.86,,
34.507,3027.51,,
34.618,3148.56,,
34.725,3023.32,,
34.834,3133.14,,
34.941,3157.02,,
35.046,3167.83,,
35.159,3103.83,,
35.270,3103.12,,
35.377,3123.44,,
35.489,3113.51,,
35.599,3054.95,,
35.700,3079.08,,
35.814,3061.13,,
35.920,3107.66,,
36.028,3081.32,,
36.138,3000.58,,
36.245,3060.92,,
36.358,2975.35,,
36.459,3035.44,,
36.563,3076.03,,
36.665,3044.21,,
36.780,3052.98,,
36.881,2993.19,,
36.983,3014.69,,
37.088,2991.03,,
37.197,3000.52,,
37.304,3068.34,,
37.414,2951.06,,
37.521,2871.14,,
37.631,2985.62,,
37.739,3048.12,,
37.847,3021.79,,
37.951,2989.50,,
38.058,2906.81,,
38.159,2867.48,,
38.263,2953.25,,
38.389,2843.34,,
38.490,2919.01,,
38.591,2840.56,,
38.695,2868.59,,
38.797,2842.92,,
38.898,2902.29,,
39.004,2818.91,,
39.105,2806.86,,
39.207,2865.74,,
39.325,2829.26,,
39.426,2835.18,,
39.527,2861.79,,
39.633,2864.65,,
39.736,2750.01,,
39.837,2765.89,,
39.940,2716.91,,
40.058,2797.51,,
40.165,2732.65,,
40.268,2727.55,,
40.370,2688.97,,
40.475,2663.08,,
40.589,2618.96,,
40.694,2701.94,,
40.804,2666.33,,
40.907,2656.99,,
41.017,2770.18,,
41.121,2650.49,,
41.229,2625.66,,
41.338,2634.65,,
41.446,2549.43,,
41.554,2593.00,,
41.668,2528.57,,
41.775,2562.95,,
41.883,2667.94,,
41.991,2497.13,,
42.098,2499.58,,
42.206,2520.87,,
42.315,2403.86,,
42.426,2490.85,,
42.534,2477.29,,
42.648,2525.38,,
42.754,2356.45,,
42.865,2403.28,,
42.985,2523.24,,
43.086,2433.70,,
43.187,2450.60,,
43.288,2370.36,,
43.390,2395.16,,
43.496,2331.82,,
43.603,2346.28,,
43.734,2403.66,,
43.835,2312.40,,
43.936,2313.80,,
44.038,2352.77,,
44.139,2342.07,,
44.240,2252.17,,
44.341,2226.16,,
44.442,2227.71,,
44.543,2129.43,,
44.644,2215.88,,
44.745,2267.67,,
44.849,2227.61,,
44.950,2140.76,,
45.056,2158.26,,
45.164,2058.84,,
45.266,2068.96,,
45.369,2064.37,,
45.470,2131.40,,
45.571,2078.35,,
45.677,2089.60,,
45.788,2007.57,,
45.890,1999.63,,
45.995,2073.98,,
46.107,2046.32,,
46.212,1985.83,,
46.323,2031.66,,
46.434,2026.90,,
46.542,1963.51,,
46.647,1942.34,,
46.754,1954.25,,
46.869,1940.53,,
46.978,1912.31,,
47.086,1863.51,,
47.193,1905.70,,
47.302,1906.53,,
47.416,1926.69,,
47.516,1771.26,,
47.626,1791.72,,
47.734,1800.05,,
47.842,1721.09,,
47.953,1728.89,,
48.054,1684.05,,
48.162,1626.21,,
48.263,1619.31,,
48.367,1700.58,,
48.470,1710.43,,
48.572,1690.62,,
48.683,1642.89,,
48.785,1663.73,,
48.907,1647.68,,
49.008,1600.94,,
49.112,1548.16,,
49.219,1664.18,,
49.320,1702.67,,
49.423,1522.66,,
49.525,1501.14,,
49.631,1464.02,,
49.737,1410.53,,
49.839,1476.70,,
49.945,1392.05,,
50.051,1424.65,,
50.164,1420.52,,
50.271,1312.08,,
50.375,1318.27,,
50.486,1408.47,,
50.599,1218.28,,
50.705,1314.48,,
50.808,1288.46,,
50.912,1320.42,,
