Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
-207.61255825696347,29.589150480741985,0.02,0.0,-0.17,0.0,0.0,0.0
73.11633823347222,537.4185623660289,7.06,0.0,80.73,0.0,0.0,0.0
-50.86235283273723,9.809809263389862,7.33,0.0,83.78,0.0,0.0,0.0
-323.95065848299225,-82.81485352121332,7.33,0.0,83.81,0.0,0.0,0.0
-150.2386774724283,-269.1528375105665,7.39,0.0,84.44,0.0,0.0,0.0
-300.45984828944705,-73.93004491358879,7.89,0.0,84.91,0.0,0.07,0.0
-154.9172426451972,-146.32400278590526,8.09,0.0,85.33,0.0,0.22,0.0
187.4965824211393,152.17402613313308,8.42,0.0,85.47,0.0,0.48,0.0
-132.96761660885332,-45.04198868900425,8.9,0.0,85.58,0.0,0.86,0.0
-131.40083383151145,284.4994688867973,9.62,0.0,85.66,0.0,1.38,0.0
86.12914907947061,115.12436217173583,10.65,0.0,85.69,0.0,2.04,0.0
-17.407764399417154,-81.60708623948193,12.03,0.0,85.65,0.0,2.84,0.0
79.01095490597767,508.73794251049935,13.64,0.0,85.54,0.0,3.74,0.0
91.7395150719432,-156.1534838955498,15.37,0.0,85.36,0.0,4.68,0.0
136.54024965672778,-67.40159968284449,17.21,0.0,85.09,0.0,3.78,0.0
272.04152555902965,136.5165868048561,18.85,0.0,84.48,0.0,3.01,0.0
-176.0517599509389,511.3968586456142,20.26,0.0,83.87,0.0,2.46,0.0
240.2618167383088,-175.45805381796924,20.98,0.0,83.12,0.0,2.24,0.0
390.718123121452,-233.89919296013366,20.89,0.0,82.34,0.0,2.39,0.0
34.632010260551255,28.210143346112815,19.86,0.0,81.75,0.0,2.87,0.0
174.76097199222545,305.9053580817773,18.34,0.0,81.23,0.0,3.54,0.0
-3.412798402760586,76.1800643184676,16.55,0.0,80.67,0.0,2.81,0.0
172.28977206301712,218.80144726094431,14.74,0.0,80.06,0.0,2.24,0.0
401.15798621255993,273.0095171282649,13.34,0.0,78.83,0.0,2.04,0.0
34.06527831594454,466.374294215928,13.03,0.0,77.39,0.0,2.33,0.0
647.8263787416308,108.67230182196619,14.1,0.0,75.76,0.0,3.05,0.0
251.54799550379988,157.77002267026256,16.0,0.0,74.0,0.0,2.19,0.0
234.61408162323193,221.3420975631051,17.72,0.0,72.19,0.0,1.57,0.0
423.3402299100512,141.04044304739566,18.48,0.0,70.49,0.0,1.49,0.0
740.3239048535842,535.1264628620864,17.13,0.0,68.25,0.0,1.97,0.0
540.6056877936301,249.85995352853283,14.65,0.0,65.03,0.0,2.67,0.0
426.93161338400546,296.1298378566686,11.19,0.0,57.51,0.0,2.19,0.0
182.12166200940243,443.966921386753,8.62,0.0,46.03,0.0,2.3,0.0
444.33906242685435,468.3581988580072,8.02,0.0,37.79,0.0,2.96,0.0
338.0742184779846,567.9329020428607,8.26,0.0,28.28,0.0,2.25,0.0
279.69420714166415,646.1261732063534,7.61,0.0,18.84,0.0,2.05,0.0
533.6935419963156,467.23058463126716,5.44,0.0,10.2,0.0,2.52,0.0
669.1445371018359,564.4605972981373,2.88,0.0,6.52,0.0,1.8,0.0
1110.8917317683222,441.6962563328751,0.76,0.0,1.79,0.0,1.49,0.0
860.8675493227852,767.9570219284244,0.18,0.0,-1.35,0.0,1.83,0.0
585.1000303414955,995.9029238371301,0.99,0.0,-4.3,0.0,2.5,0.01
487.2483449818153,650.9371267839263,1.07,0.0,-9.13,0.0,2.07,0.01
433.08816202011417,747.5898068040193,0.16,0.0,-14.38,0.0,2.14,0.01
954.0669259820297,771.5808020481234,1.34,0.0,-18.03,0.0,2.59,0.01
1067.9539219670778,816.8277275325819,2.23,0.0,-17.71,0.0,2.19,0.01
705.6626674878507,689.0870575843031,2.53,0.0,-17.51,0.0,2.17,0.01
856.4759268276747,862.3405233081414,2.18,0.0,-17.42,0.0,2.57,0.01
803.483740790727,1065.1714886258758,1.41,0.0,-17.42,0.0,2.07,0.01
787.4595551643977,828.3118262458746,0.98,0.0,-17.38,0.0,1.78,0.01
944.1630242699355,782.1541207397422,0.95,0.0,-17.25,0.0,1.79,0.01
813.7522681497035,919.7886076939877,1.13,0.0,-17.06,0.0,2.08,0.01
975.189515533321,789.2147086065235,1.75,0.0,-16.8,0.0,1.76,0.01
1034.9336998903873,1466.557776295415,2.03,0.0,-16.62,0.0,1.69,0.01
1029.8067527180838,648.7133449012015,1.96,0.0,-16.5,0.0,1.9,0.01
585.9305567987383,1316.270586114118,1.77,0.0,-16.42,0.0,2.34,0.01
755.2200921253323,1226.4831093603457,1.2,0.0,-16.42,0.0,1.88,0.01
1180.369569632897,1234.6747820033024,0.72,0.0,-16.41,0.0,1.64,0.01
1086.9162133733716,944.9563407488123,0.69,0.0,-16.3,0.0,1.76,0.01
1124.7752137788525,1086.4155031484672,0.99,0.0,-16.11,0.0,2.18,0.01
767.1528288929476,1122.6329926971607,1.6,0.0,-15.86,0.0,1.74,0.01
1127.7487296055663,1078.88291607747,2.26,0.0,-15.63,0.0,1.6,0.01
747.4063668484939,1307.6007446814845,2.17,0.0,-15.54,0.0,1.91,0.01
1264.4710497900483,1312.8789020004617,1.67,0.0,-15.53,0.0,2.55,0.01
955.9354555904868,1114.5258376376044,0.76,0.0,-15.62,0.0,1.96,0.01
1144.2332170274847,1048.476601523166,0.39,0.0,-15.62,0.0,1.73,0.01
1471.2378349874618,1159.5104608108086,0.42,0.0,-15.51,0.0,1.96,0.01
1345.0101829513974,1654.321638434964,0.92,0.0,-15.28,0.0,2.5,0.01
1454.9333405347163,1525.7832888062721,1.5,0.0,-15.05,0.0,1.94,0.01
1154.1135247501006,998.2196088016626,2.16,0.0,-14.83,0.0,1.67,0.01
933.6034718802593,1442.1941747932542,2.38,0.0,-14.71,0.0,1.92,0.01
1478.047795942226,1249.1964217122825,1.66,0.0,-14.74,0.0,2.57,0.01
1465.7435165566917,1358.5564931596123,0.94,0.0,-14.81,0.0,1.88,0.01
1707.778831181598,1213.658428530935,0.28,0.0,-14.89,0.0,1.46,0.01
1413.1986709734294,1443.2235818807646,0.28,0.0,-14.81,0.0,1.5,0.01
1656.633483595032,1428.065972457199,0.51,0.0,-14.65,0.0,1.88,0.01
