Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.120,-207.61,,
0.221,73.12,,
0.343,-50.86,,
0.445,-323.95,,
0.546,-150.24,,
0.647,-300.46,,
0.748,-154.92,,
0.849,187.50,,
0.951,-132.97,,
1.052,-131.40,,
1.152,86.13,,
1.254,-17.41,,
1.355,79.01,,
1.461,91.74,,
1.572,136.54,,
1.678,272.04,,
1.789,-176.05,,
1.900,240.26,,
2.008,390.72,,
2.113,34.63,,
2.224,174.76,,
2.336,-3.41,,
2.437,172.29,,
2.539,401.16,,
2.639,34.07,,
2.744,647.83,,
2.848,251.55,,
2.949,234.61,,
3.050,423.34,,
3.151,740.32,,
3.253,540.61,,
3.356,426.93,,
3.460,182.12,,
3.566,444.34,,
3.669,338.07,,
3.777,279.69,,
3.880,533.69,,
3.983,669.14,,
4.084,1110.89,,
4.188,860.87,,
4.295,585.10,,
4.398,487.25,,
4.499,433.09,,
4.601,954.07,,
4.706,1067.95,,
4.817,705.66,,
4.922,856.48,,
5.033,803.48,,
5.162,787.46,,
5.263,944.16,,
5.364,813.75,,
5.465,975.19,,
5.566,1034.93,,
5.667,1029.81,,
5.767,585.93,,
5.868,755.22,,
5.970,1180.37,,
6.075,1086.92,,
6.182,1124.78,,
6.292,767.15,,
6.399,1127.75,,
6.501,747.41,,
6.604,1264.47,,
6.707,955.94,,
6.810,1144.23,,
6.914,1471.24,,
7.016,1345.01,,
7.116,1454.93,,
7.219,1154.11,,
7.320,933.60,,
7.424,1478.05,,
7.527,1465.74,,
7.628,1707.78,,
7.730,1413.20,,
7.831,1656.63,,
7.936,1784.12,,
8.038,1687.22,,
8.140,1447.31,,
8.241,1298.65,,
8.342,1344.76,,
8.451,2146.65,,
8.562,1871.55,,
8.671,1514.85,,
8.779,1659.39,,
8.886,1598.78,,
8.998,1456.58,,
9.103,1685.18,,
9.216,1781.38,,
9.325,1764.93,,
9.432,1518.03,,
9.538,2004.92,,
9.651,1605.65,,
9.758,1602.56,,
9.866,1680.37,,
9.977,1684.73,,
10.086,1684.26,,
10.192,2009.52,,
10.301,1606.74,,
10.415,1696.49,,
10.530,2083.80,,
10.631,2128.26,,
10.733,2038.63,,
10.835,1894.68,,
10.936,2242.97,,
11.037,1959.26,,
11.141,2055.23,,
11.242,1861.09,,
11.344,1937.41,,
11.449,2154.71,,
11.551,2313.20,,
11.659,2251.52,,
11.761,2149.29,,
11.868,1914.68,,
11.970,2230.92,,
12.077,2212.34,,
12.178,2332.15,,
12.284,-4673.91,,
12.388,2220.97,,
12.501,2167.51,,
12.602,2307.28,,
12.704,2111.71,,
12.807,2240.48,,
12.936,2177.17,,
13.038,2152.70,,
13.226,2294.39,,
13.335,2255.26,,
13.437,2379.59,,
13.539,2254.08,,
13.644,1962.33,,
13.747,2627.40,,
13.849,2516.88,,
13.951,2317.89,,
14.058,2578.66,,
14.159,2605.00,,
14.267,2521.24,,
14.368,2129.08,,
14.472,2506.32,,
14.573,2697.73,,
14.678,2266.92,,
14.781,2715.53,,
14.884,2846.03,,
14.985,2351.10,,
15.090,2664.85,,
15.193,2328.27,,
15.297,2950.61,,
15.398,2303.41,,
15.500,2685.98,,
15.604,2430.20,,
15.706,3165.13,,
15.808,2823.70,,
15.911,2749.46,,
16.014,2549.90,,
16.117,2714.01,,
16.221,2440.68,,
16.322,2777.62,,
16.425,2754.06,,
16.538,2458.76,,
16.646,3044.16,,
16.748,2674.43,,
16.849,2686.71,,
16.951,2773.88,,
17.055,2517.39,,
17.156,2553.10,,
17.257,3135.89,,
17.361,2596.88,,
17.462,3103.91,,
17.564,2736.96,,
17.665,3454.70,,
17.769,3006.03,,
17.878,2711.69,,
17.980,3002.71,,
18.081,2845.18,,
18.184,3071.63,,
18.286,2738.07,,
18.388,2595.48,,
18.492,3098.05,,
18.594,2886.79,,
18.695,2616.41,,
18.798,3087.28,,
18.900,2811.52,,
19.003,3168.14,,
19.105,3019.69,,
19.206,2938.93,,
19.307,2942.85,,
19.412,2982.81,,
19.530,9968.33,,
19.631,2687.83,,
19.732,2914.07,,
19.835,3021.53,,
19.936,2849.16,,
20.040,2829.40,,
20.142,3053.52,,
20.243,2586.36,,
20.346,3122.77,,
20.450,3126.87,,
20.556,3350.44,,
20.658,3347.61,,
20.759,2785.93,,
20.860,3063.99,,
20.962,3374.63,,
21.063,3010.80,,
21.168,2908.38,,
21.271,2921.31,,
21.375,2992.60,,
21.476,2842.87,,
21.581,3383.20,,
21.684,3739.36,,
21.816,2852.94,,
21.917,3359.18,,
22.018,3263.63,,
