Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.125,21.38,,
0.226,11.26,,
0.407,-24.75,,
0.531,29.81,,
0.661,7.31,,
0.817,-54.31,,
0.956,-91.19,,
1.088,-70.29,,
1.202,-34.87,,
1.315,44.51,,
1.438,134.07,,
1.560,19.37,,
1.661,49.43,,
1.762,10.15,,
1.863,40.58,,
1.971,70.53,,
2.175,115.61,,
2.278,133.19,,
2.380,181.12,,
2.481,91.05,,
2.582,234.62,,
2.684,112.71,,
2.785,196.05,,
2.888,123.03,,
2.995,174.24,,
3.105,274.46,,
3.219,246.04,,
3.327,205.03,,
3.431,347.96,,
3.534,328.58,,
3.636,302.78,,
3.739,522.02,,
3.867,366.64,,
3.969,451.21,,
4.074,520.18,,
4.176,330.57,,
4.280,500.90,,
4.410,593.39,,
4.512,544.82,,
4.616,587.44,,
4.718,623.90,,
4.824,577.62,,
5.007,656.54,,
5.111,817.53,,
5.219,732.98,,
5.322,695.97,,
5.426,720.10,,
5.534,814.92,,
5.638,783.79,,
5.739,850.60,,
5.848,850.48,,
5.955,846.36,,
6.056,908.24,,
6.159,996.65,,
6.262,981.52,,
6.365,962.20,,
6.471,965.35,,
6.576,1070.08,,
6.678,1149.42,,
6.780,1106.92,,
6.882,1203.43,,
6.985,1131.29,,
7.087,1240.41,,
7.198,1244.00,,
7.305,1212.74,,
7.413,1355.56,,
7.518,1224.50,,
7.625,1278.11,,
7.731,1268.36,,
7.837,1334.09,,
7.949,1358.23,,
8.057,1393.76,,
8.169,1375.00,,
8.275,1505.84,,
8.381,1476.54,,
8.482,1534.27,,
8.602,1462.66,,
8.708,1532.88,,
8.816,1631.81,,
8.919,1538.14,,
9.021,1564.89,,
9.128,1518.33,,
9.231,1556.48,,
9.333,1597.78,,
9.436,1535.33,,
9.541,1614.98,,
9.725,1617.71,,
9.840,1684.13,,
9.943,1698.83,,
10.045,1737.98,,
10.156,1734.83,,
10.264,1769.39,,
10.368,1717.50,,
10.470,1848.69,,
10.571,1869.16,,
10.672,1878.17,,
10.776,1825.33,,
10.879,1881.27,,
10.982,1833.53,,
11.084,1929.85,,
11.185,1993.59,,
11.290,1938.46,,
11.393,1996.15,,
11.495,1929.09,,
11.603,2009.76,,
11.704,2071.89,,
11.813,2042.78,,
11.914,2025.23,,
12.016,1997.15,,
12.117,2134.12,,
12.220,2049.27,,
12.325,1974.99,,
12.433,2171.36,,
12.544,2120.48,,
12.648,2187.77,,
12.760,2139.18,,
12.865,2252.79,,
12.977,2217.38,,
13.085,2221.32,,
13.189,2227.15,,
13.305,2192.69,,
13.407,2353.47,,
13.514,2336.69,,
13.627,2304.87,,
13.734,2477.05,,
13.842,2270.22,,
13.953,2291.98,,
14.061,2289.52,,
14.171,2329.82,,
14.281,2374.80,,
14.391,2460.50,,
14.493,2403.05,,
14.595,2346.83,,
14.709,2467.61,,
14.811,2438.92,,
14.913,2594.30,,
15.014,2578.73,,
15.117,2480.83,,
15.219,2597.76,,
15.320,2501.95,,
15.422,2521.10,,
15.525,2648.57,,
15.627,2599.48,,
15.728,2631.85,,
15.836,2533.19,,
15.941,2560.18,,
16.042,2574.41,,
16.145,2551.76,,
16.251,2653.97,,
16.355,2707.60,,
16.456,2712.03,,
16.565,2743.44,,
16.667,2627.94,,
16.770,2591.39,,
16.875,2728.59,,
16.977,2805.82,,
17.078,2752.15,,
17.183,2740.57,,
17.285,2697.09,,
17.388,2853.04,,
17.490,2766.62,,
17.607,2739.27,,
17.709,2881.19,,
17.810,2760.01,,
17.912,2924.38,,
18.012,2884.43,,
18.113,2899.31,,
18.214,2903.51,,
18.315,2827.77,,
18.416,2828.18,,
18.517,2828.95,,
18.618,2901.16,,
18.723,2925.01,,
18.830,2968.32,,
18.941,2897.08,,
19.045,2929.50,,
19.146,2933.65,,
19.252,2925.81,,
19.362,2875.89,,
19.463,2905.05,,
19.566,2939.01,,
19.669,3061.39,,
19.773,3018.83,,
19.875,3041.72,,
19.979,3090.87,,
20.087,3060.37,,
20.191,3010.90,,
20.292,3095.48,,
20.393,3128.00,,
20.505,2997.03,,
20.606,3078.77,,
20.712,3039.30,,
20.816,3170.30,,
20.918,3064.92,,
21.019,3117.37,,
21.120,3067.80,,
21.221,3184.86,,
21.325,3092.74,,
21.428,3153.79,,
21.529,3127.89,,
21.630,3154.45,,
21.734,3140.89,,
21.838,3115.30,,
21.946,3128.00,,
22.047,3140.86,,
22.148,-5.06,,
22.249,3164.79,,
22.355,3143.75,,
22.458,3119.03,,
22.561,3098.20,,
22.674,3114.59,,
22.775,3187.08,,
22.879,3149.12,,
22.985,3188.20,,
23.089,3150.32,,
23.192,3216.97,,
23.299,3188.46,,
23.400,3150.85,,
23.505,3244.18,,
23.606,3260.37,,
23.711,3171.09,,
23.815,3229.88,,
23.922,3252.68,,
24.030,3259.07,,
24.141,3224.42,,
24.252,3269.40,,
24.355,3235.76,,
24.457,3177.94,,
24.559,3262.72,,
24.661,3329.74,,
24.766,3264.25,,
