Altitude(m),Pressure(mPa),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0,1013.25,0,0,1.0,0,0,1.1
0.0001,1013.2499879723136,0,0,22.446,0,0,1.1
0.0050917,1013.2493875864834,0,0,43.923,0,0,1.1
0.023265,1013.2472017626538,0,0,65.424,0,0,1.1
0.063319,1013.2423842179537,0,0,86.95,0,0,1.1
0.13386,1013.2338998670768,0,0,96.522,0,0,1.1
0.24113,1013.2209980551696,0,0,94.144,0,0,1.1
0.38655,1013.2035080453867,0,0,91.786,0,0,1.1
0.5692,1013.1815407225668,0,0,89.422,0,0,1.1
0.78813,1013.1552106302671,0,0,87.053,0,0,1.1
10.424,1011.9970093504747,0,0,85.377,0,0,1.1
10.424,1011.9970093504747,0,0,85.377,0,0,1.1
13.312,1011.6501387779049,0,0,84.392,0,0,1.1
16.539,1011.2626923935258,0,0,83.4,0,0,1.1
20.103,1010.8349568931967,0,0,82.406,0,0,1.1
23.998,1010.3677031398582,0,0,81.41,0,0,1.1
28.221,1009.8613457329823,0,0,80.883,0,0,1.1
3.277,1012.8559293713884,0,0,80.828,0,0,1.1
37.641,1008.7327579592571,0,0,80.771,0,0,1.1
42.837,1008.1107773874382,0,0,80.712,0,0,1.1
48.355,1007.4506721065909,0,0,80.653,0,0,1.1
54.197,1006.7522785139441,0,0,80.91,0,0,1.1
54.197,1006.7522785139441,0,0,80.91,0,0,1.1
60.335,1006.0190205658796,0,0,81.358,0,0,1.1
70.146,1004.8480874728483,0,0,82.322,0,0,1.1
86.237,1002.9305925427767,0,0,83.397,0,0,1.34
11.351,1011.8856567028275,0,0,83.927,0,0,1.28
16.0,1011.3273965415442,0,0,84.73,0,0,1.49
21.717,1010.6413112815912,0,0,85.537,0,0,1.35
28.178,1009.8665003546142,0,0,86.364,0,0,1.61
35.503,1008.9887959527514,0,0,86.688,0,0,1.37
43.697,1008.0078691783025,0,0,85.06,0,0,4.32
52.753,1006.9248593286259,0,0,83.169,0,0,9.59
52.753,1006.9248593286259,0,0,83.169,0,0,14.41
62.654,1005.7421271393442,0,0,81.214,0,0,21.78
73.38,1004.4624115325726,0,0,79.194,0,0,24.15
84.91,1003.0885868671855,0,0,77.431,0,0,26.52
97.226,1001.6231840351352,0,0,76.803,0,0,29.17
110.32,1000.0675597537978,0,0,76.263,0,0,29.73
124.17,998.4247486108326,0,0,75.696,0,0,28.4
138.79,996.6935320623002,0,0,75.096,0,0,25.81
154.17,994.8755605401512,0,0,74.343,0,0,22.7
170.29,992.9736773854133,0,0,73.145,0,0,20.33
187.15,990.9883768027782,0,0,71.886,0,0,19.41
187.15,990.9883768027782,0,0,71.886,0,0,19.81
204.74,988.921347879154,0,0,70.636,0,0,19.96
223.04,986.7754616107004,0,0,69.38,0,0,19.465
242.05,984.5512504143695,0,0,67.975,0,0,18.97
261.74,982.2527632249464,0,0,66.053,0,0,17.05
282.1,979.8817072160134,0,0,64.044,0,0,16.23
303.12,977.4397944989997,0,0,62.007,0,0,17.39
324.76,974.9322129066677,0,0,59.917,0,0,19.89
347.02,972.3594995212618,0,0,57.992,0,0,21.42
366.34,970.132082365193,0,0,57.129,0,0,20.65
389.67,967.4491491417664,0,0,56.003,0,0,18.42
389.67,967.4491491417664,0,0,56.003,0,0,17.77
413.57,964.70836003172,0,0,53.209,0,0,19.78
438.01,961.9136747788418,0,0,48.414,0,0,20.51
462.97,959.0678841671377,0,0,43.497,0,0,21.24
488.38,956.179435310694,0,0,37.814,0,0,19.19
514.2,953.2532909846886,0,0,31.999,0,0,18.05
535.91,950.7998583750243,0,0,28.92,0,0,19.61
560.47,948.0319606497012,0,0,27.688,0,0,20.02
587.16,945.0331486159926,0,0,26.092,0,0,17.66
608.29,942.665771310738,0,0,23.344,0,0,18.17
627.25,940.546566536356,0,0,19.328,0,0,19.26
627.25,940.546566536356,0,0,19.328,0,0,17.42
654.54,937.5046585513669,0,0,12.376,0,0,17.74
681.97,934.4570592159927,0,0,84.908,0,0,18.005
