Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.129,0.00,,
0.230,0.00,,
0.346,0.01,,
0.524,0.02,,
0.630,0.06,,
0.741,0.13,,
0.842,0.24,,
0.943,0.39,,
1.045,0.57,,
1.153,0.79,,
1.254,10.42,,
1.356,10.42,,
1.464,13.31,,
1.572,16.54,,
1.674,20.10,,
1.780,24.00,,
1.881,28.22,,
1.983,3.28,,
2.084,37.64,,
2.188,42.84,,
2.296,48.35,,
2.397,54.20,,
2.498,54.20,,
2.600,60.34,,
2.709,70.15,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
0.630,0x0001,Roket kalkışı algılandı,0.06
1.626,0x0003,Motor yanma önlem süresi doldu,20.10
